TRANSID;CONNID;CONNCOUNTER;CDATE;CTIME;SERVICEID;CONNIDOUT;CONNCOUNTERCOUT;SID;SYSTEMTYPE;TYPE;NAME1;NAME2;USERNAME;TARGETINSTANCE;CALLINGTIME;SENTBYTES;RECEIVEDBYTES
01EF78FCEE104974917C7114CF73E0B2;0464FA5C2C1D8327E10000000A428075;1;2019/6/7;8:16:52;FA163E4CC4F01EE68CC7030173AFFB7E;5CFA64071D2C2783E10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;C5289649;ldcifd4_FD4_04;568,984;119,245;6,325
01EF78FCEE104974917C7114CF73E0B2;0464FA5C2C1D8327E10000000A428075;1;2019/6/7;8:16:52;FA163E4CC4F01EE68CC7030173AFFB7E;5CFA64081D2C2783E10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;C5289649;ldcifd4_FD4_04;175,831;116,104;6,673
04071AF280B849F7B8909CA75FC05DCB;BA0EF85C8FA587D9E10000000A428075;1;2019/6/7;8:37:04;FA163E4CC4F01EE68CC7030173AFFB7E;5CF80EBDA58FD987E10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;C5287796;ldcifd4_FD4_04;94,149;9,629;3,773
04071AF280B849F7B8909CA75FC05DCB;BA0EF85C8FA587D9E10000000A428075;1;2019/6/7;8:37:04;FA163E4CC4F01EE68CC7030173AFFB7E;5CF80EBEA58FD987E10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;C5287796;ldcifd4_FD4_04;1,937,660;20,396;34,471
047B6E6E46624BE5B944BD860DD81EE3;81D7F95C749698DBE10000000A428075;1;2019/6/7;8:07:24;FA163E4CC4F01EE68CC7030173AFFB7E;0A4280A0DB985CFA1B3B014300000000;1;FD4ADM;ABAP;101;http://ld4090.wdf.sap.corp:1128/SAPHostControl.cgi;POST;;;893,058;980;6,167
0587516A87CE471FB6BFE386C4602EAD;01C6F95C3D687EA7E10000000A428075;1;2019/6/7;8:55:44;FA163E4CC4F01EE68CC7030173AFFB7E;5CF9C604683DA77EE10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;BABUTZKAJ;ldcifd4_FD4_04;529,761;10,971;4,233
0587516A87CE471FB6BFE386C4602EAD;01C6F95C3D687EA7E10000000A428075;1;2019/6/7;8:55:44;FA163E4CC4F01EE68CC7030173AFFB7E;5CF9C605683DA77EE10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;BABUTZKAJ;ldcifd4_FD4_04;302,821;10,953;5,383
0587516A87CE471FB6BFE386C4602EAD;01C6F95C3D687EA7E10000000A428075;1;2019/6/7;8:55:44;FA163E4CC4F01EE68CC7030173AFFB7E;5CF9C606683DA77EE10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;BABUTZKAJ;ldcifd4_FD4_04;413,647;10,993;4,008
0587516A87CE471FB6BFE386C4602EAD;01C6F95C3D687EA7E10000000A428075;1;2019/6/7;8:55:44;FA163E4CC4F01EE68CC7030173AFFB7E;5CF9C607683DA77EE10000000A428075;1;FD4ADM;ABAP;254;/IWBEP/FM_MGW_HANDLE_REQUEST;/IWBEP/CL_MGW_QUERY_SCHEDULER=CP;BABUTZKAJ;ldcifd4_FD4_04;181,751;10,979;4,145
05FF88E921FAF1A58111005056032F99;D866BD70886F11E9B765E87D0A4CC092;1;2019/6/7;8:39:17;FA163E4CC4F01EE699A8E03865ABBC52;B8FF88E931CBF1788111005056032F99;1;JDETMO;ABAP;254;/SDF/E2E_DISPATCHED_COLLECTOR;/SDF/SAPLEFWK_EXTENSION;SDAGENT;wdflbmd16722v_JDE_01;18,174;2,551;1,836
